pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,pode_evoluir,fase_evolutiva
23,ekans,poison,,"[['ataque de poison', 'poison']]",35,60,44,40,1,1
24,arbok,poison,,"[['ataque de poison', 'poison']]",60,95,69,65,0,2
25,pikachu,electric,,"[['ataque de electric', 'electric']]",35,55,40,50,1,1
26,raichu,electric,,"[['ataque de electric', 'electric']]",60,90,55,90,0,2
27,sandshrew,ground,,"[['ataque de ground', 'ground']]",50,75,85,20,1,1
28,sandslash,ground,,"[['ataque de ground', 'ground']]",75,100,110,45,0,2
29,nidoran-f,poison,,"[['ataque de poison', 'poison']]",55,47,52,40,1,1
30,nidorina,poison,,"[['ataque de poison', 'poison']]",70,62,67,55,1,2
31,nidoqueen,poison,ground,"[['ataque de poison', 'poison'], ['ataque de ground', 'ground']]",90,92,87,75,0,3
32,nidoran-m,poison,,"[['ataque de poison', 'poison']]",46,57,40,40,1,1
33,nidorino,poison,,"[['ataque de poison', 'poison']]",61,72,57,55,1,2
34,nidoking,poison,ground,"[['ataque de poison', 'poison'], ['ataque de ground', 'ground']]",81,102,77,85,0,3
35,clefairy,fairy,,"[['ataque de fairy', 'fairy']]",70,45,48,60,1,1
36,clefable,fairy,,"[['ataque de fairy', 'fairy']]",95,70,73,95,0,2
37,vulpix,fire,,"[['ataque de fire', 'fire']]",38,41,40,50,1,1
38,ninetales,fire,,"[['ataque de fire', 'fire']]",73,76,75,81,0,2
39,jigglypuff,normal,fairy,"[['ataque de normal', 'normal'], ['ataque de fairy', 'fairy']]",115,45,20,45,1,1
40,wigglytuff,normal,fairy,"[['ataque de normal', 'normal'], ['ataque de fairy', 'fairy']]",140,70,45,85,0,2
41,zubat,poison,flying,"[['ataque de poison', 'poison'], ['ataque de flying', 'flying']]",40,45,35,30,1,1
42,golbat,poison,flying,"[['ataque de poison', 'poison'], ['ataque de flying', 'flying']]",75,80,70,65,0,2
43,oddish,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",45,50,55,75,1,1
44,gloom,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",60,65,70,85,1,2
45,vileplume,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",75,80,85,110,0,3
46,paras,bug,grass,"[['ataque de bug', 'bug'], ['ataque de grass', 'grass']]",35,70,55,45,1,1
47,parasect,bug,grass,"[['ataque de bug', 'bug'], ['ataque de grass', 'grass']]",60,95,80,60,0,2
48,venonat,bug,poison,"[['ataque de bug', 'bug'], ['ataque de poison', 'poison']]",60,55,50,40,1,1
49,venomoth,bug,poison,"[['ataque de bug', 'bug'], ['ataque de poison', 'poison']]",70,65,60,90,0,2
50,diglett,ground,,"[['ataque de ground', 'ground']]",10,55,25,35,1,1
51,dugtrio,ground,,"[['ataque de ground', 'ground']]",35,100,50,50,0,2
52,meowth,normal,,"[['ataque de normal', 'normal']]",40,45,35,40,1,1
53,persian,normal,,"[['ataque de normal', 'normal']]",65,70,60,65,0,2
54,psyduck,water,,"[['ataque de water', 'water']]",50,52,48,65,1,1
55,golduck,water,,"[['ataque de water', 'water']]",80,82,78,95,0,2
56,mankey,fighting,,"[['ataque de fighting', 'fighting']]",40,80,35,35,1,1
57,primeape,fighting,,"[['ataque de fighting', 'fighting']]",65,105,60,60,0,2
58,growlithe,fire,,"[['ataque de fire', 'fire']]",55,70,45,70,1,1
59,arcanine,fire,,"[['ataque de fire', 'fire']]",90,110,80,100,0,2
60,poliwag,water,,"[['ataque de water', 'water']]",40,50,40,40,1,1
61,poliwhirl,water,,"[['ataque de water', 'water']]",65,65,65,50,1,2
62,poliwrath,water,fighting,"[['ataque de water', 'water'], ['ataque de fighting', 'fighting']]",90,95,95,70,0,3
63,abra,psychic,,"[['ataque de psychic', 'psychic']]",25,20,15,105,1,1
64,kadabra,psychic,,"[['ataque de psychic', 'psychic']]",40,35,30,120,1,2
65,alakazam,psychic,,"[['ataque de psychic', 'psychic']]",55,50,45,135,0,3
66,machop,fighting,,"[['ataque de fighting', 'fighting']]",70,80,50,35,1,1
67,machoke,fighting,,"[['ataque de fighting', 'fighting']]",80,100,70,50,1,2
68,machamp,fighting,,"[['ataque de fighting', 'fighting']]",90,130,80,65,0,3
69,bellsprout,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",50,75,35,70,1,1
70,weepinbell,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",65,90,50,85,1,2
71,victreebel,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",80,105,65,100,0,3
72,tentacool,water,poison,"[['ataque de water', 'water'], ['ataque de poison', 'poison']]",40,40,35,50,1,1
73,tentacruel,water,poison,"[['ataque de water', 'water'], ['ataque de poison', 'poison']]",80,70,65,80,0,2
74,geodude,rock,ground,"[['ataque de rock', 'rock'], ['ataque de ground', 'ground']]",40,80,100,30,1,1
75,graveler,rock,ground,"[['ataque de rock', 'rock'], ['ataque de ground', 'ground']]",55,95,115,45,1,2
76,golem,rock,ground,"[['ataque de rock', 'rock'], ['ataque de ground', 'ground']]",80,120,130,55,0,3
77,ponyta,fire,,"[['ataque de fire', 'fire']]",50,85,55,65,1,1
78,rapidash,fire,,"[['ataque de fire', 'fire']]",65,100,70,80,0,2
79,slowpoke,water,psychic,"[['ataque de water', 'water'], ['ataque de psychic', 'psychic']]",90,65,65,40,1,1
80,slowbro,water,psychic,"[['ataque de water', 'water'], ['ataque de psychic', 'psychic']]",95,75,110,100,0,2
81,magnemite,electric,steel,"[['ataque de electric', 'electric'], ['ataque de steel', 'steel']]",25,35,70,95,1,1
82,magneton,electric,steel,"[['ataque de electric', 'electric'], ['ataque de steel', 'steel']]",50,60,95,120,0,2
83,farfetchd,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",52,90,55,58,0,1
84,doduo,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",35,85,45,35,1,1
85,dodrio,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",60,110,70,60,0,2
86,seel,water,,"[['ataque de water', 'water']]",65,45,55,45,1,1
87,dewgong,water,ice,"[['ataque de water', 'water'], ['ataque de ice', 'ice']]",90,70,80,70,0,2
88,grimer,poison,,"[['ataque de poison', 'poison']]",80,80,50,40,1,1
89,muk,poison,,"[['ataque de poison', 'poison']]",105,105,75,65,0,2
90,shellder,water,,"[['ataque de water', 'water']]",30,65,100,45,1,1
91,cloyster,water,ice,"[['ataque de water', 'water'], ['ataque de ice', 'ice']]",50,95,180,85,0,2
92,gastly,ghost,poison,"[['ataque de ghost', 'ghost'], ['ataque de poison', 'poison']]",30,35,30,100,1,1
93,haunter,ghost,poison,"[['ataque de ghost', 'ghost'], ['ataque de poison', 'poison']]",45,50,45,115,1,2
94,gengar,ghost,poison,"[['ataque de ghost', 'ghost'], ['ataque de poison', 'poison']]",60,65,60,130,0,3
95,onix,rock,ground,"[['ataque de rock', 'rock'], ['ataque de ground', 'ground']]",35,45,160,30,0,1
96,drowzee,psychic,,"[['ataque de psychic', 'psychic']]",60,48,45,43,1,1
97,hypno,psychic,,"[['ataque de psychic', 'psychic']]",85,73,70,73,0,2
98,krabby,water,,"[['ataque de water', 'water']]",30,105,90,25,1,1
99,kingler,water,,"[['ataque de water', 'water']]",55,130,115,50,0,2
100,voltorb,electric,,"[['ataque de electric', 'electric']]",40,30,50,55,1,1
101,electrode,electric,,"[['ataque de electric', 'electric']]",60,50,70,80,0,2
102,exeggcute,grass,psychic,"[['ataque de grass', 'grass'], ['ataque de psychic', 'psychic']]",60,40,80,60,1,1
103,exeggutor,grass,psychic,"[['ataque de grass', 'grass'], ['ataque de psychic', 'psychic']]",95,95,85,125,0,2
104,cubone,ground,,"[['ataque de ground', 'ground']]",50,50,95,40,1,1
105,marowak,ground,,"[['ataque de ground', 'ground']]",60,80,110,50,0,2
106,hitmonlee,fighting,,"[['ataque de fighting', 'fighting']]",50,120,53,35,0,1
107,hitmonchan,fighting,,"[['ataque de fighting', 'fighting']]",50,105,79,35,0,1
108,lickitung,normal,,"[['ataque de normal', 'normal']]",90,55,75,60,0,1
109,koffing,poison,,"[['ataque de poison', 'poison']]",40,65,95,60,1,1
110,weezing,poison,,"[['ataque de poison', 'poison']]",65,90,120,85,0,2
111,rhyhorn,ground,rock,"[['ataque de ground', 'ground'], ['ataque de rock', 'rock']]",80,85,95,30,1,1
112,rhydon,ground,rock,"[['ataque de ground', 'ground'], ['ataque de rock', 'rock']]",105,130,120,45,0,2
113,chansey,normal,,"[['ataque de normal', 'normal']]",250,5,5,35,0,1
114,tangela,grass,,"[['ataque de grass', 'grass']]",65,55,115,100,0,1
115,kangaskhan,normal,,"[['ataque de normal', 'normal']]",105,95,80,40,0,1
116,horsea,water,,"[['ataque de water', 'water']]",30,40,70,70,1,1
117,seadra,water,,"[['ataque de water', 'water']]",55,65,95,95,0,2
118,goldeen,water,,"[['ataque de water', 'water']]",45,67,60,35,1,1
119,seaking,water,,"[['ataque de water', 'water']]",80,92,65,65,0,2
120,staryu,water,,"[['ataque de water', 'water']]",30,45,55,70,1,1
121,starmie,water,psychic,"[['ataque de water', 'water'], ['ataque de psychic', 'psychic']]",60,75,85,100,0,2
122,mr-mime,psychic,fairy,"[['ataque de psychic', 'psychic'], ['ataque de fairy', 'fairy']]",40,45,65,100,0,1
123,scyther,bug,flying,"[['ataque de bug', 'bug'], ['ataque de flying', 'flying']]",70,110,80,55,0,1
124,jynx,ice,psychic,"[['ataque de ice', 'ice'], ['ataque de psychic', 'psychic']]",65,50,35,115,0,1
125,electabuzz,electric,,"[['ataque de electric', 'electric']]",65,83,57,95,0,1
126,magmar,fire,,"[['ataque de fire', 'fire']]",65,95,57,100,0,1
127,pinsir,bug,,"[['ataque de bug', 'bug']]",65,125,100,55,0,1
128,tauros,normal,,"[['ataque de normal', 'normal']]",75,100,95,40,0,1
129,magikarp,water,,"[['ataque de water', 'water']]",20,10,55,15,1,1
130,gyarados,water,flying,"[['ataque de water', 'water'], ['ataque de flying', 'flying']]",95,125,79,60,0,2
131,lapras,water,ice,"[['ataque de water', 'water'], ['ataque de ice', 'ice']]",130,85,80,85,0,1
132,ditto,normal,,"[['ataque de normal', 'normal']]",48,48,48,48,0,1
133,eevee,normal,,"[['ataque de normal', 'normal']]",55,55,50,45,1,1
134,vaporeon,water,,"[['ataque de water', 'water']]",130,65,60,110,0,2
135,jolteon,electric,,"[['ataque de electric', 'electric']]",65,65,60,110,0,2
136,flareon,fire,,"[['ataque de fire', 'fire']]",65,130,60,95,0,2
137,porygon,normal,,"[['ataque de normal', 'normal']]",65,60,70,85,0,1
138,omanyte,rock,water,"[['ataque de rock', 'rock'], ['ataque de water', 'water']]",35,40,100,90,1,1
139,omastar,rock,water,"[['ataque de rock', 'rock'], ['ataque de water', 'water']]",70,60,125,115,0,2
140,kabuto,rock,water,"[['ataque de rock', 'rock'], ['ataque de water', 'water']]",30,80,90,55,1,1
141,kabutops,rock,water,"[['ataque de rock', 'rock'], ['ataque de water', 'water']]",60,115,105,65,0,2
142,aerodactyl,rock,flying,"[['ataque de rock', 'rock'], ['ataque de flying', 'flying']]",80,105,65,60,0,1
143,snorlax,normal,,"[['ataque de normal', 'normal']]",160,110,65,65,0,1
144,articuno,ice,flying,"[['ataque de ice', 'ice'], ['ataque de flying', 'flying']]",90,85,100,95,0,1
145,zapdos,electric,flying,"[['ataque de electric', 'electric'], ['ataque de flying', 'flying']]",90,90,85,125,0,1
146,moltres,fire,flying,"[['ataque de fire', 'fire'], ['ataque de flying', 'flying']]",90,100,90,125,0,1
147,dratini,dragon,,"[['ataque de dragon', 'dragon']]",41,64,45,50,1,1
148,dragonair,dragon,,"[['ataque de dragon', 'dragon']]",61,84,65,70,1,2
149,dragonite,dragon,flying,"[['ataque de dragon', 'dragon'], ['ataque de flying', 'flying']]",91,134,95,100,0,3
150,mewtwo,psychic,,"[['ataque de psychic', 'psychic']]",106,110,90,154,0,1
151,mew,psychic,,"[['ataque de psychic', 'psychic']]",100,100,100,100,0,1
